Title: "SJR.csv"
11783,PST,'RIVER STAGE (feet)'
20081028,1245,0.00
20081028,1300,0.00
20081028,1315,0.00
20081028,1330,0.00
20081028,1345,0.00
20081028,1400,0.00
20081028,1415,0.00
20081028,1430,0.00
20081028,1445,0.00
20081028,1500,0.00
20081028,1515,0.00
20081028,1530,0.00
20081028,1545,0.00
20081028,1600,0.00
20081028,1615,0.00
20081028,1630,0.00
20081028,1645,0.00
20081028,1700,0.00
20081028,1715,0.00
20081028,1730,0.00
20081028,1745,0.00
20081028,1800,0.00
20081028,1815,0.00
20081028,1830,0.00
20081028,1845,0.00
20081028,1900,0.00
20081028,1915,0.00
20081028,1930,0.00
20081028,1945,0.00
20081028,2000,0.00
20081028,2015,0.00
20081028,2030,0.00
20081028,2045,0.00
20081028,2100,0.00
20081028,2115,0.00
20081028,2130,0.00
20081028,2145,0.00
20081028,2200,0.00
20081028,2215,0.00
20081028,2230,0.00
20081028,2245,0.00
20081028,2300,0.00
20081028,2315,0.00
20081028,2330,0.00
20081028,2345,0.00
20081029,0000,0.00
20081029,0015,0.00
20081029,0030,0.00
20081029,0045,0.00
20081029,0100,0.00
20081029,0115,0.00
20081029,0130,0.00
20081029,0145,0.00
20081029,0200,0.00
20081029,0215,0.00
20081029,0230,0.00
20081029,0245,0.00
20081029,0300,0.00
20081029,0315,0.00
20081029,0330,0.00
20081029,0345,0.00
20081029,0400,0.00
20081029,0415,0.00
20081029,0430,0.00
20081029,0445,0.00
20081029,0500,0.00
20081029,0515,0.00
20081029,0530,0.00
20081029,0545,0.00
20081029,0600,0.00
20081029,0615,0.00
20081029,0630,0.00
20081029,0645,0.00
20081029,0700,0.00
20081029,0715,0.00
20081029,0730,0.00
20081029,0745,0.00
20081029,0800,0.00
20081029,0815,0.00
20081029,0830,0.00
20081029,0845,0.00
20081029,0900,0.00
20081029,0915,0.00
20081029,0930,0.00
20081029,0945,0.00
20081029,1000,0.00
20081029,1015,0.00
20081029,1030,0.00
20081029,1045,0.00
20081029,1100,0.00
20081029,1115,0.00
20081029,1130,0.00
20081029,1145,0.00
20081029,1200,0.00
20081029,1215,0.00
20081029,1230,0.00
20081029,1245,0.00
20081029,1300,0.00
20081029,1315,0.00
20081029,1330,0.00
20081029,1345,0.00
20081029,1400,0.00
20081029,1415,0.00
20081029,1430,0.00
20081029,1445,0.00
20081029,1500,0.00
20081029,1515,0.00
20081029,1530,0.00
20081029,1545,0.00
20081029,1600,0.00
20081029,1615,0.00
20081029,1630,0.00
20081029,1645,0.00
20081029,1700,0.00
20081029,1715,0.00
20081029,1730,0.00
20081029,1745,0.00
20081029,1800,0.00
20081029,1815,0.00
20081029,1830,0.00
20081029,1845,0.00
20081029,1900,0.00
20081029,1915,0.00
20081029,1930,0.00
20081029,1945,0.00
20081029,2000,0.00
20081029,2015,0.00
20081029,2030,0.00
20081029,2045,0.00
20081029,2100,0.00
20081029,2115,0.00
20081029,2130,0.00
20081029,2145,0.00
20081029,2200,0.00
20081029,2215,0.00
20081029,2230,0.00
20081029,2245,0.00
20081029,2300,0.00
20081029,2315,0.00
20081029,2330,0.00
20081029,2345,0.00
20081030,0000,0.00
20081030,0015,0.00
20081030,0030,0.00
20081030,0045,0.00
20081030,0100,0.00
20081030,0115,0.00
20081030,0130,0.00
20081030,0145,0.00
20081030,0200,0.00
20081030,0215,0.00
20081030,0230,0.00
20081030,0245,0.00
20081030,0300,0.00
20081030,0315,0.00
20081030,0330,0.00
20081030,0345,0.00
20081030,0400,0.00
20081030,0415,0.00
20081030,0430,0.00
20081030,0445,0.00
20081030,0500,0.00
20081030,0515,0.00
20081030,0530,0.00
20081030,0545,0.00
20081030,0600,0.00
20081030,0615,0.00
20081030,0630,0.00
20081030,0645,0.00
20081030,0700,0.00
20081030,0715,0.00
20081030,0730,0.00
20081030,0745,0.00
20081030,0800,0.00
20081030,0815,0.00
20081030,0830,0.00
20081030,0845,0.00
20081030,0900,0.00
20081030,0915,0.00
20081030,0930,0.00
20081030,0945,0.00
20081030,1000,0.00
20081030,1015,0.00
20081030,1030,0.00
20081030,1045,0.00
20081030,1100,0.00
20081030,1115,0.00
20081030,1130,0.00
20081030,1145,0.00
20081030,1200,0.00
20081030,1215,0.00
20081030,1230,0.00
20081030,1245,0.00
20081030,1300,0.00
20081030,1315,0.00
20081030,1330,0.00
20081030,1345,0.00
20081030,1400,0.00
20081030,1415,0.00
20081030,1430,0.00
20081030,1445,0.00
20081030,1500,0.00
20081030,1515,0.00
20081030,1530,0.00
20081030,1545,0.00
20081030,1600,0.00
20081030,1615,0.00
20081030,1630,0.00
20081030,1645,0.00
20081030,1700,0.00
20081030,1715,0.00
20081030,1730,0.00
20081030,1745,0.00
20081030,1800,0.00
20081030,1815,0.00
20081030,1830,0.00
20081030,1845,0.00
20081030,1900,0.00
20081030,1915,0.00
20081030,1930,0.00
20081030,1945,0.00
20081030,2000,0.00
20081030,2015,0.00
20081030,2030,0.00
20081030,2045,0.00
20081030,2100,0.00
20081030,2115,0.00
20081030,2130,0.00
20081030,2145,0.00
20081030,2200,0.00
20081030,2215,0.00
20081030,2230,0.00
20081030,2245,0.00
20081030,2300,0.00
20081030,2315,0.00
20081030,2330,0.00
20081030,2345,0.00
20081031,0000,0.00
20081031,0015,0.00
20081031,0030,0.00
20081031,0045,0.00
20081031,0100,0.00
20081031,0115,0.00
20081031,0130,0.00
20081031,0145,0.00
20081031,0200,0.00
20081031,0215,0.00
20081031,0230,0.00
20081031,0245,0.00
20081031,0300,0.00
20081031,0315,0.00
20081031,0330,0.00
20081031,0345,0.00
20081031,0400,0.00
20081031,0415,0.00
20081031,0430,0.00
20081031,0445,0.00
20081031,0500,0.00
20081031,0515,0.00
20081031,0530,0.00
20081031,0545,0.00
20081031,0600,0.00
20081031,0615,0.00
20081031,0630,0.00
20081031,0645,0.00
20081031,0700,0.00
20081031,0715,0.00
20081031,0730,0.00
20081031,0745,0.00
20081031,0800,0.00
20081031,0815,0.00
20081031,0830,0.00
20081031,0845,0.00
20081031,0900,0.00
20081031,0915,0.00
20081031,0930,0.00
20081031,0945,0.00
20081031,1000,0.00
20081031,1015,0.00
20081031,1030,0.00
20081031,1045,0.00
20081031,1100,0.00
20081031,1115,0.00
20081031,1130,0.00
20081031,1145,0.00
20081031,1200,0.00
20081031,1215,0.00
20081031,1230,0.00
20081031,1245,0.00
20081031,1300,0.00
20081031,1315,0.00
20081031,1330,0.00
20081031,1345,0.00
20081031,1400,0.00
20081031,1415,0.00
20081031,1430,0.00
20081031,1445,0.00
20081031,1500,0.00
20081031,1515,0.00
20081031,1530,0.00
20081031,1545,0.00
20081031,1600,0.00
20081031,1615,0.00
20081031,1630,0.00
20081031,1645,0.00
20081031,1700,0.00
20081031,1715,0.00
20081031,1730,0.00
20081031,1745,0.00
20081031,1800,0.00
20081031,1815,0.00
20081031,1830,0.00
20081031,1845,0.00
20081031,1900,0.00
20081031,1915,0.00
20081031,1930,0.00
20081031,1945,0.00
20081031,2000,0.00
20081031,2015,0.00
20081031,2030,0.00
20081031,2045,0.00
20081031,2100,0.00
20081031,2115,0.00
20081031,2130,0.00
20081031,2145,0.00
20081031,2200,0.00
20081031,2215,0.00
20081031,2230,0.00
20081031,2245,0.00
20081031,2300,0.00
20081031,2315,0.00
20081031,2330,0.00
20081031,2345,0.00
20081101,0000,0.00
20081101,0015,0.00
20081101,0030,0.00
20081101,0045,0.00
20081101,0100,0.00
20081101,0115,0.00
20081101,0130,0.00
20081101,0145,0.00
20081101,0200,0.00
20081101,0215,0.00
20081101,0230,0.00
20081101,0245,0.00
20081101,0300,0.00
20081101,0315,0.00
20081101,0330,0.00
20081101,0345,0.00
20081101,0400,0.00
20081101,0415,0.00
20081101,0430,0.00
20081101,0445,0.00
20081101,0500,0.00
20081101,0515,0.00
20081101,0530,0.00
20081101,0545,0.00
20081101,0600,0.00
20081101,0615,0.00
20081101,0630,0.00
20081101,0645,0.00
20081101,0700,0.00
20081101,0715,0.00
20081101,0730,0.00
20081101,0745,0.00
20081101,0800,0.00
20081101,0815,0.00
20081101,0830,0.00
20081101,0845,0.00
20081101,0900,0.00
20081101,0915,0.00
20081101,0930,0.00
20081101,0945,0.00
20081101,1000,0.00
20081101,1015,0.00
20081101,1030,0.00
20081101,1045,0.00
20081101,1100,0.00
20081101,1115,0.00
20081101,1130,0.00
20081101,1145,0.00
20081101,1200,0.00
20081101,1215,0.00
20081101,1230,0.00
20081101,1245,0.00
20081101,1300,0.00
20081101,1315,0.00
20081101,1330,0.00
20081101,1345,0.00
20081101,1400,0.00
20081101,1415,0.00
20081101,1430,0.00
20081101,1445,0.00
20081101,1500,0.00
20081101,1515,0.00
20081101,1530,0.00
20081101,1545,0.00
20081101,1600,0.00
20081101,1615,0.00
20081101,1630,0.00
20081101,1645,0.00
20081101,1700,0.00
20081101,1715,0.00
20081101,1730,0.00
20081101,1745,0.00
20081101,1800,0.00
20081101,1815,0.00
20081101,1830,0.00
20081101,1845,0.00
20081101,1900,0.00
20081101,1915,0.00
20081101,1930,0.00
20081101,1945,0.00
20081101,2000,0.00
20081101,2015,0.00
20081101,2030,0.00
20081101,2045,0.00
20081101,2100,0.00
20081101,2115,0.00
20081101,2130,0.00
20081101,2145,0.00
20081101,2200,0.00
20081101,2215,0.00
20081101,2230,0.00
20081101,2245,0.00
20081101,2300,0.00
20081101,2315,0.00
20081101,2330,0.00
20081101,2345,0.00
20081102,0000,0.00
20081102,0015,0.00
20081102,0030,0.00
20081102,0045,0.00
20081102,0100,0.00
20081102,0115,0.00
20081102,0130,0.00
20081102,0145,0.00
20081102,0200,0.00
20081102,0215,0.00
20081102,0230,0.00
20081102,0245,0.00
20081102,0300,0.00
20081102,0315,0.00
20081102,0330,0.00
20081102,0345,0.00
20081102,0400,0.00
20081102,0415,0.00
20081102,0430,0.00
20081102,0445,0.00
20081102,0500,0.00
20081102,0515,0.00
