STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
JER,E,100,EL COND,20191203 2300,20191203 2300,1423, ,uS/cm
JER,E,100,EL COND,20191203 2315,20191203 2315,1396, ,uS/cm
JER,E,100,EL COND,20191203 2330,20191203 2330,1442, ,uS/cm
JER,E,100,EL COND,20191203 2345,20191203 2345,1372, ,uS/cm
JER,E,100,EL COND,20191204 0000,20191204 0000,1156, ,uS/cm
JER,E,100,EL COND,20191204 0015,20191204 0015,1026, ,uS/cm
JER,E,100,EL COND,20191204 0030,20191204 0030,960, ,uS/cm
JER,E,100,EL COND,20191204 0045,20191204 0045,911, ,uS/cm
JER,E,100,EL COND,20191204 0100,20191204 0100,850, ,uS/cm
JER,E,100,EL COND,20191204 0115,20191204 0115,788, ,uS/cm
JER,E,100,EL COND,20191204 0130,20191204 0130,739, ,uS/cm
JER,E,100,EL COND,20191204 0145,20191204 0145,710, ,uS/cm
JER,E,100,EL COND,20191204 0200,20191204 0200,678, ,uS/cm
JER,E,100,EL COND,20191204 0215,20191204 0215,655, ,uS/cm
JER,E,100,EL COND,20191204 0230,20191204 0230,610, ,uS/cm
JER,E,100,EL COND,20191204 0245,20191204 0245,585, ,uS/cm
JER,E,100,EL COND,20191204 0300,20191204 0300,565, ,uS/cm
JER,E,100,EL COND,20191204 0315,20191204 0315,542, ,uS/cm
JER,E,100,EL COND,20191204 0330,20191204 0330,523, ,uS/cm
JER,E,100,EL COND,20191204 0345,20191204 0345,503, ,uS/cm
JER,E,100,EL COND,20191204 0400,20191204 0400,491, ,uS/cm
JER,E,100,EL COND,20191204 0415,20191204 0415,481, ,uS/cm
JER,E,100,EL COND,20191204 0430,20191204 0430,472, ,uS/cm
JER,E,100,EL COND,20191204 0445,20191204 0445,468, ,uS/cm
JER,E,100,EL COND,20191204 0500,20191204 0500,461, ,uS/cm
JER,E,100,EL COND,20191204 0515,20191204 0515,464, ,uS/cm
JER,E,100,EL COND,20191204 0530,20191204 0530,494, ,uS/cm
JER,E,100,EL COND,20191204 0545,20191204 0545,517, ,uS/cm
JER,E,100,EL COND,20191204 0600,20191204 0600,574, ,uS/cm
JER,E,100,EL COND,20191204 0615,20191204 0615,566, ,uS/cm
JER,E,100,EL COND,20191204 0630,20191204 0630,544, ,uS/cm
JER,E,100,EL COND,20191204 0645,20191204 0645,541, ,uS/cm
JER,E,100,EL COND,20191204 0700,20191204 0700,543, ,uS/cm
JER,E,100,EL COND,20191204 0715,20191204 0715,546, ,uS/cm
JER,E,100,EL COND,20191204 0730,20191204 0730,547, ,uS/cm
JER,E,100,EL COND,20191204 0745,20191204 0745,549, ,uS/cm
JER,E,100,EL COND,20191204 0800,20191204 0800,551, ,uS/cm
JER,E,100,EL COND,20191204 0815,20191204 0815,567, ,uS/cm
JER,E,100,EL COND,20191204 0830,20191204 0830,592, ,uS/cm
JER,E,100,EL COND,20191204 0845,20191204 0845,616, ,uS/cm
JER,E,100,EL COND,20191204 0900,20191204 0900,634, ,uS/cm
JER,E,100,EL COND,20191204 0915,20191204 0915,668, ,uS/cm
JER,E,100,EL COND,20191204 0930,20191204 0930,692, ,uS/cm
JER,E,100,EL COND,20191204 0945,20191204 0945,724, ,uS/cm
JER,E,100,EL COND,20191204 1000,20191204 1000,800, ,uS/cm
JER,E,100,EL COND,20191204 1015,20191204 1015,900, ,uS/cm
JER,E,100,EL COND,20191204 1030,20191204 1030,1018, ,uS/cm
JER,E,100,EL COND,20191204 1045,20191204 1045,1147, ,uS/cm
JER,E,100,EL COND,20191204 1100,20191204 1100,1297, ,uS/cm
JER,E,100,EL COND,20191204 1115,20191204 1115,1535, ,uS/cm
JER,E,100,EL COND,20191204 1130,20191204 1130,1648, ,uS/cm
JER,E,100,EL COND,20191204 1145,20191204 1145,1779, ,uS/cm
JER,E,100,EL COND,20191204 1200,20191204 1200,1824, ,uS/cm
JER,E,100,EL COND,20191204 1215,20191204 1215,1965, ,uS/cm
JER,E,100,EL COND,20191204 1230,20191204 1230,1968, ,uS/cm
JER,E,100,EL COND,20191204 1245,20191204 1245,1999, ,uS/cm
